timestamp,open,high,low,close,volume
2023-01-03 04:00:00,373.4238,376.1758,373.4238,375.8549,97457
2023-01-03 04:30:00,376.03,376.1758,375.7674,376.1758,38307
2023-01-03 05:00:00,375.9814,375.9911,375.1061,375.1937,49317
2023-01-03 05:30:00,375.145,375.5729,374.9992,375.4271,61940
2023-01-03 06:00:00,375.2715,375.3687,374.7658,374.9116,17163
2023-01-03 06:30:00,374.9505,375.0478,372.957,373.3849,96343
2023-01-03 07:00:00,373.3752,373.5794,372.782,373.2487,170863
2023-01-03 07:30:00,373.2487,373.8517,373.2487,373.7252,197755
2023-01-03 08:00:00,372.9667,376.0693,372.2277,373.5697,613608
2023-01-03 08:30:00,373.5502,374.2796,373.4238,374.0948,220314
2023-01-03 09:00:00,374.0656,374.6685,371.897,373.8128,465664
2023-01-03 09:30:00,373.7836,375.7869,371.1483,371.1969,7391068
2023-01-03 10:00:00,371.2552,372.0429,369.675,370.4481,4314212
2023-01-03 10:30:00,370.3994,371.5713,369.602,371.5178,3567632
2023-01-03 11:00:00,371.5274,371.7998,369.0283,369.5711,4035712
2023-01-03 11:30:00,369.5729,369.5826,368.2211,368.6296,3691236
2023-01-03 12:00:00,368.6685,369.2714,368.0072,368.5032,2437828
2023-01-03 12:30:00,368.5275,369.5534,367.4247,368.1822,2627038
2023-01-03 13:00:00,368.2017,369.2283,367.9197,369.0672,1908249
2023-01-03 13:30:00,369.0672,369.5242,368.5226,369.3686,1952491
2023-01-03 14:00:00,369.3784,369.7576,368.3573,368.5518,2382294
2023-01-03 14:30:00,368.5615,370.2633,367.6766,369.5728,3918352
2023-01-03 15:00:00,369.5534,370.6523,369.3589,369.884,3521009
2023-01-03 15:30:00,369.8938,370.7982,369.816,370.3508,7288884
2023-01-03 16:00:00,370.3508,370.4383,369.6895,370.0785,2547911
2023-01-03 16:30:00,370.1272,370.3216,370.0105,370.205,157949
2023-01-03 17:00:00,370.1272,370.2147,370.0007,370.0785,12661
2023-01-03 17:30:00,370.0785,370.1661,370.0785,370.1272,22840
2023-01-03 18:00:00,370.098,370.1563,369.8354,370.1174,72644
2023-01-03 18:30:00,370.0396,370.3022,369.9229,370.3022,25533
2023-01-03 19:00:00,370.3022,370.6134,370.1855,370.6037,49947
2023-01-03 19:30:00,370.5939,370.6037,370.1466,370.2827,60403
2023-01-04 04:00:00,371.9651,371.9748,371.5664,371.6539,20401
2023-01-04 04:30:00,371.5178,372.0818,371.4789,371.8484,7426
2023-01-04 05:00:00,371.8484,372.3249,371.8484,372.1888,5175
2023-01-04 05:30:00,372.1499,372.1499,371.3525,371.5567,6035
2023-01-04 06:00:00,371.7706,372.1499,371.7317,372.0137,2992
2023-01-04 06:30:00,372.0332,372.2666,371.8484,371.8484,17833
2023-01-04 07:00:00,371.7512,371.8581,371.2649,371.3622,122620
2023-01-04 07:30:00,371.3719,371.6636,370.8954,371.3233,270858
2023-01-04 08:00:00,371.6442,372.6944,370.7982,372.4124,248609
2023-01-04 08:30:00,372.4513,372.7236,372.1499,372.3735,227117
2023-01-04 09:00:00,372.4222,372.7139,371.7803,372.6264,380160
2023-01-04 09:30:00,372.6264,373.5891,371.3816,372.675,5635000
2023-01-04 10:00:00,372.6069,373.6864,369.534,371.1385,6540931
2023-01-04 10:30:00,371.1482,372.427,370.3703,372.427,3163278
2023-01-04 11:00:00,372.4222,373.1223,371.7813,373.0163,3104797
2023-01-04 11:30:00,373.0348,375.252,373.0348,374.863,5049280
2023-01-04 12:00:00,374.8825,375.0235,374.474,374.5859,2577987
2023-01-04 12:30:00,374.5907,375.1159,373.7447,373.7544,2098697
2023-01-04 13:00:00,373.7641,374.4935,373.0834,374.2309,3103718
2023-01-04 13:30:00,374.2309,374.7172,373.3752,373.5599,1963980
2023-01-04 14:00:00,373.6766,374.9408,370.7009,370.9829,8185957
2023-01-04 14:30:00,370.9926,372.7917,370.6426,372.6751,4685676
2023-01-04 15:00:00,372.7042,373.5016,372.0818,372.2228,3803636
2023-01-04 15:30:00,372.2179,373.4141,370.7168,373.1709,9596476
2023-01-04 16:00:00,373.1612,373.3752,372.7625,372.8598,5160782
2023-01-04 16:30:00,372.8598,373.1904,372.5972,372.8598,306871
2023-01-04 17:00:00,372.7528,373.3071,372.7333,373.1904,127842
2023-01-04 17:30:00,373.2098,373.2299,373.0445,373.0445,36760
2023-01-04 18:00:00,372.8889,373.0445,372.8209,373.0348,58733
2023-01-04 18:30:00,373.064,373.2974,373.064,373.064,50933
2023-01-04 19:00:00,372.9862,373.1807,372.8598,373.1321,17655
2023-01-04 19:30:00,373.1321,373.1321,372.782,372.8111,48894
2023-01-05 04:00:00,372.4513,372.8598,371.9845,372.6944,16795
2023-01-05 04:30:00,372.782,373.0348,372.4611,373.0348,9016
2023-01-05 05:00:00,373.0737,373.521,373.0251,373.2974,19015
2023-01-05 05:30:00,373.3557,373.735,373.2585,373.5016,9609
2023-01-05 06:00:00,373.5405,374.0073,373.5016,373.7155,21275
2023-01-05 06:30:00,373.7836,374.1142,373.5599,373.7058,48404
2023-01-05 07:00:00,373.6961,373.9684,373.4821,373.8517,88036
2023-01-05 07:30:00,373.7641,374.3184,373.2293,373.3071,99317
2023-01-05 08:00:00,373.6572,374.299,371.6734,372.1304,396477
2023-01-05 08:30:00,372.2374,372.2374,370.8954,371.1969,552587
2023-01-05 09:00:00,371.1482,371.226,370.3897,371.158,807387
2023-01-05 09:30:00,371.2066,371.2455,368.4545,369.6507,7473489
2023-01-05 10:00:00,369.6604,371.3233,369.1839,369.7576,6505670
2023-01-05 10:30:00,369.7625,370.2147,368.8338,368.9408,3390910
2023-01-05 11:00:00,368.9505,369.8646,368.3281,368.8581,3072475
2023-01-05 11:30:00,368.8434,369.6507,368.6879,368.8532,1936285
2023-01-05 12:00:00,368.8435,369.7187,368.6539,369.2908,2041598
2023-01-05 12:30:00,369.281,369.9716,368.8873,368.9699,1938240
2023-01-05 13:00:00,368.9845,370.9246,368.6004,370.2827,4193371
2023-01-05 13:30:00,370.2827,370.9635,369.8646,370.0883,2948600
2023-01-05 14:00:00,370.098,370.5745,369.5923,369.709,2514355
2023-01-05 14:30:00,369.7187,371.1969,369.6798,370.3128,2356702
2023-01-05 15:00:00,370.3314,370.3314,368.9408,369.1644,3528792
2023-01-05 15:30:00,369.1741,369.4902,368.4788,368.9505,8692053
2023-01-05 16:00:00,368.9505,369.3395,368.8241,369.3006,4612136
2023-01-05 16:30:00,369.3297,369.3784,369.1936,369.3006,191111
2023-01-05 17:00:00,369.2811,369.3103,368.9505,368.9505,37807
2023-01-05 17:30:00,369.2228,369.3881,369.1839,369.3103,28864
2023-01-05 18:00:00,369.3881,369.534,369.2422,369.4367,82546
2023-01-05 18:30:00,369.4853,369.7284,368.931,369.534,264158
2023-01-05 19:00:00,369.534,369.7771,369.534,369.7576,16307
2023-01-05 19:30:00,369.7771,369.9035,369.709,369.8646,20629
2023-01-06 04:00:00,369.534,369.534,368.7365,368.8046,21669
2023-01-06 04:30:00,368.756,369.038,368.5518,369.0283,17001
2023-01-06 05:00:00,368.931,369.4562,368.7268,369.0672,8116
2023-01-06 05:30:00,369.1644,369.4659,368.931,368.931,13771
2023-01-06 06:00:00,368.931,369.5729,368.863,369.2422,61883
2023-01-06 06:30:00,369.3881,369.3881,368.8532,369.2033,12074
2023-01-06 07:00:00,369.0964,369.2033,368.8143,369.0186,109053
2023-01-06 07:30:00,369.0964,369.1644,368.6879,368.9894,126204
2023-01-06 08:00:00,368.9797,370.3994,368.0072,368.5615,241507
2023-01-06 08:30:00,368.5615,373.4627,368.0655,373.1612,2971323
2023-01-06 09:00:00,373.2001,373.3168,371.6734,372.0623,801068
2023-01-06 09:30:00,372.0721,373.3849,368.9991,370.2507,7788146
2023-01-06 10:00:00,370.273,373.3654,370.2633,372.3833,6968591
2023-01-06 10:30:00,372.3833,374.9505,372.3492,374.6588,6222029
2023-01-06 11:00:00,374.688,375.4757,374.4741,374.7269,4615792
2023-01-06 11:30:00,374.7366,376.0689,374.3962,375.6215,3976576
2023-01-06 12:00:00,375.6215,375.8647,374.7658,374.9516,2795328
2023-01-06 12:30:00,374.97,375.2422,374.4546,374.8436,2159426
2023-01-06 13:00:00,374.8339,375.5925,374.6053,375.4951,1921328
2023-01-06 13:30:00,375.5028,376.1953,375.4694,376.0689,2776871
2023-01-06 14:00:00,376.0689,377.4498,376.0689,377.0705,5366457
2023-01-06 14:30:00,377.0705,378.0819,377.0365,377.8193,3958887
2023-01-06 15:00:00,377.8096,378.5292,377.5713,377.6734,4967450
2023-01-06 15:30:00,377.6783,378.3541,377.0511,377.3428,14273923
2023-01-06 16:00:00,377.3428,379.2585,376.9052,377.1677,5900026
2023-01-06 16:30:00,377.1289,377.3914,377.0802,377.0997,224461
2023-01-06 17:00:00,377.1094,377.3136,377.0705,377.1289,127861
2023-01-06 17:30:00,377.1677,377.2066,376.9246,377.1483,90741
2023-01-06 18:00:00,377.1483,377.1969,377.1289,377.1775,47480
2023-01-06 18:30:00,377.1289,377.1677,377.0705,377.0997,25775
2023-01-06 19:00:00,377.1094,377.1483,375.7382,377.0219,62507
2023-01-06 19:30:00,376.9441,377.0024,376.8371,376.9052,13218
2023-01-09 04:00:00,377.6734,378.8209,377.6734,378.5973,18110
2023-01-09 04:30:00,378.6167,379.064,378.5681,378.6751,23834
2023-01-09 05:00:00,378.6264,379.1613,378.5875,378.9862,22879
2023-01-09 05:30:00,379.0057,379.0057,378.6653,378.9473,11409
2023-01-09 06:00:00,378.9182,379.064,378.5584,378.6751,14450
2023-01-09 06:30:00,378.5973,378.7723,378.5,378.5875,11076
2023-01-09 07:00:00,378.5778,378.996,378.5778,378.7918,144107
2023-01-09 07:30:00,378.8404,379.3072,378.8112,378.9182,157659
2023-01-09 08:00:00,378.7723,379.3072,377.7998,379.2284,286945
2023-01-09 08:30:00,379.2099,379.5405,378.8696,378.9279,142995
2023-01-09 09:00:00,378.9376,379.7739,378.8501,379.6183,323216
2023-01-09 09:30:00,379.6183,380.8825,378.6264,380.8145,6135107
2023-01-09 10:00:00,380.8339,381.359,380.4352,380.6385,4116742
2023-01-09 10:30:00,380.6395,382.419,380.6394,381.7869,4019799
2023-01-09 11:00:00,381.7869,382.8566,381.7869,382.6816,2923325
2023-01-09 11:30:00,382.6864,382.7963,382.0009,382.5454,2863663
2023-01-09 12:00:00,382.5454,382.5454,381.6216,382.0884,2076740
2023-01-09 12:30:00,382.0884,382.1467,381.0673,381.5146,2635220
2023-01-09 13:00:00,381.5195,381.6605,380.7269,381.2034,2582637
2023-01-09 13:30:00,381.1986,381.2423,379.1321,379.7302,4933143
2023-01-09 14:00:00,379.735,380.3477,379.1613,379.8031,4010700
2023-01-09 14:30:00,379.808,379.9782,378.0527,378.2375,3109127
2023-01-09 15:00:00,378.237,378.5,377.4984,377.6636,5302631
2023-01-09 15:30:00,377.6637,377.8485,376.9927,377.183,8907434
2023-01-09 16:00:00,377.1872,377.265,376.8371,377.0608,3348115
2023-01-09 16:30:00,377.1775,377.1775,376.9246,377.1094,287163
2023-01-09 17:00:00,377.1386,377.2553,376.9246,377.0705,81423
2023-01-09 17:30:00,377.0705,377.1775,376.983,377.1289,26289
2023-01-09 18:00:00,377.1483,377.2358,376.9927,377.0997,49598
2023-01-09 18:30:00,377.0608,377.1191,376.7107,376.8663,19877
2023-01-09 19:00:00,376.9246,376.983,376.1467,376.2925,47900
2023-01-09 19:30:00,376.2634,376.5454,376.2536,376.487,75344
2023-01-10 04:00:00,377.1775,377.1775,376.2536,376.6621,19426
2023-01-10 04:30:00,376.6134,377.0511,376.6134,376.9927,27062
2023-01-10 05:00:00,377.1386,377.1483,376.7301,376.9441,8750
2023-01-10 05:30:00,377.0802,377.265,376.9538,376.9538,14089
2023-01-10 06:00:00,376.9538,376.9538,376.2439,376.4287,20512
2023-01-10 06:30:00,376.4384,376.4384,375.8549,376.1078,93078
2023-01-10 07:00:00,376.0591,376.098,375.1839,375.6507,344841
2023-01-10 07:30:00,375.641,375.6702,375.1159,375.641,128168
2023-01-10 08:00:00,375.6118,377.0604,375.1645,375.1645,344557
2023-01-10 08:30:00,375.1645,376.0008,375.1256,375.9522,189675
2023-01-10 09:00:00,375.9522,377.0705,375.6604,376.594,769837
2023-01-10 09:30:00,376.5843,378.5097,376.3606,377.7512,5101319
2023-01-10 10:00:00,377.7609,379.2488,377.158,377.5616,4125420
2023-01-10 10:30:00,377.5665,377.8776,375.6313,377.6735,4250691
2023-01-10 11:00:00,377.6929,378.0916,377.1289,377.3224,2095642
2023-01-10 11:30:00,377.2942,377.7123,376.6815,377.4303,2076777
2023-01-10 12:00:00,377.4303,377.9652,376.5259,377.3817,2199879
2023-01-10 12:30:00,377.3525,378.4705,377.2747,378.0721,2034539
2023-01-10 13:00:00,378.0721,378.6653,377.829,378.218,2089023
2023-01-10 13:30:00,378.2229,378.8794,378.1013,378.7918,2521455
2023-01-10 14:00:00,378.8404,379.385,378.6556,379.1662,2601901
